No,Sub Bidang,Bidang Induk,Rentang,Status,Deskripsi Analisis,Jml Kata
1,Gaya Hidup,Pribadi,0% - 12%,Ringan - Rendah,"Siswa memiliki stabilitas emosi yang sangat baik, rasa percaya diri yang tinggi, serta ketahanan mental yang kuat dalam menghadapi rutinitas harian khususnya pada aspek Gaya Hidup. Kondisi perasaannya sangat positif dan matang, mendukung perkembangan diri yang optimal di sekolah tanpa hambatan berarti.",42
2,Gaya Hidup,Pribadi,13% - 25%,Ringan - Tinggi,"Siswa menunjukkan kondisi emosional yang sehat dan stabil secara umum khususnya pada aspek Gaya Hidup. Terdapat sedikit kecemasan atau keraguan situasional yang wajar, namun siswa tetap mampu mengelola perasaannya dengan baik dan menunjukkan penyesuaian diri yang adaptif dalam kesehariannya.",39
3,Gaya Hidup,Pribadi,26% - 38%,Sedang - Rendah,"Siswa mulai mengalami perubahan suasana hati atau penurunan motivasi diri dalam kadar ringan khususnya pada aspek Gaya Hidup. Kondisi ini sesekali memengaruhi ketenangan pikirannya, di mana siswa mulai merasa kurang yakin terhadap kemampuannya saat menghadapi tantangan di sekolah.",38
4,Gaya Hidup,Pribadi,39% - 50%,Sedang - Tinggi,"Siswa mengalami kondisi tekanan perasaan yang cukup mengganggu kenyamanan batinnya khususnya pada aspek Gaya Hidup. Perasaan tidak aman (insecurity) atau kecemasan mulai tampak lebih sering, sehingga siswa terkadang merasa kurang fokus dan mudah lelah secara mental dalam keseharian.",38
5,Gaya Hidup,Pribadi,51% - 63%,Berat - Rendah,"Siswa menunjukkan beban pikiran yang cukup berat, ditandai dengan emosi yang mudah berubah dan rasa percaya diri yang menurun tajam khususnya pada aspek Gaya Hidup. Keadaan perasaan yang tidak menentu ini mulai memengaruhi produktivitas harian dan menurunkan minat siswa terhadap aktivitas sekolah.",42
6,Gaya Hidup,Pribadi,64% - 75%,Berat - Tinggi,"Siswa mengalami hambatan emosional yang cukup menetap, diwarnai oleh kekhawatiran yang terus-menerus dan kesulitan mengendalikan emosi diri khususnya pada aspek Gaya Hidup. Kondisi ini membuat siswa merasa sangat tertekan, cenderung menutup diri, serta kesulitan untuk berpikir dengan tenang.",38
7,Gaya Hidup,Pribadi,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis perasaan yang mendalam, ditandai dengan emosi yang sangat tidak stabil dan rasa tidak berdaya yang kuat khususnya pada aspek Gaya Hidup. Tingkat beban pikiran yang dialami sangat tinggi, sehingga mengganggu keseimbangan hariannya secara drastis.",39
8,Gaya Hidup,Pribadi,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami hambatan emosional yang sangat menguras energi, ditandai dengan kecemasan yang meluas dan kelelahan batin yang luar biasa khususnya pada aspek Gaya Hidup. Kondisinya berada pada titik jenuh tertinggi yang menurunkan motivasi diri, serta membuat siswa kehilangan pandangan positif tentang dirinya.",42
9,Kematangan Emosi,Pribadi,0% - 12%,Ringan - Rendah,"Siswa memiliki stabilitas emosi yang sangat baik, rasa percaya diri yang tinggi, serta ketahanan mental yang kuat dalam menghadapi rutinitas harian khususnya pada aspek Kematangan Emosi. Kondisi perasaannya sangat positif dan matang, mendukung perkembangan diri yang optimal di sekolah tanpa hambatan berarti.",42
10,Kematangan Emosi,Pribadi,13% - 25%,Ringan - Tinggi,"Siswa menunjukkan kondisi emosional yang sehat dan stabil secara umum khususnya pada aspek Kematangan Emosi. Terdapat sedikit kecemasan atau keraguan situasional yang wajar, namun siswa tetap mampu mengelola perasaannya dengan baik dan menunjukkan penyesuaian diri yang adaptif dalam kesehariannya.",39
11,Kematangan Emosi,Pribadi,26% - 38%,Sedang - Rendah,"Siswa mulai mengalami perubahan suasana hati atau penurunan motivasi diri dalam kadar ringan khususnya pada aspek Kematangan Emosi. Kondisi ini sesekali memengaruhi ketenangan pikirannya, di mana siswa mulai merasa kurang yakin terhadap kemampuannya saat menghadapi tantangan di sekolah.",38
12,Kematangan Emosi,Pribadi,39% - 50%,Sedang - Tinggi,"Siswa mengalami kondisi tekanan perasaan yang cukup mengganggu kenyamanan batinnya khususnya pada aspek Kematangan Emosi. Perasaan tidak aman (insecurity) atau kecemasan mulai tampak lebih sering, sehingga siswa terkadang merasa kurang fokus dan mudah lelah secara mental dalam keseharian.",38
13,Kematangan Emosi,Pribadi,51% - 63%,Berat - Rendah,"Siswa menunjukkan beban pikiran yang cukup berat, ditandai dengan emosi yang mudah berubah dan rasa percaya diri yang menurun tajam khususnya pada aspek Kematangan Emosi. Keadaan perasaan yang tidak menentu ini mulai memengaruhi produktivitas harian dan menurunkan minat siswa terhadap aktivitas sekolah.",42
14,Kematangan Emosi,Pribadi,64% - 75%,Berat - Tinggi,"Siswa mengalami hambatan emosional yang cukup menetap, diwarnai oleh kekhawatiran yang terus-menerus dan kesulitan mengendalikan emosi diri khususnya pada aspek Kematangan Emosi. Kondisi ini membuat siswa merasa sangat tertekan, cenderung menutup diri, serta kesulitan untuk berpikir dengan tenang.",38
15,Kematangan Emosi,Pribadi,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis perasaan yang mendalam, ditandai dengan emosi yang sangat tidak stabil dan rasa tidak berdaya yang kuat khususnya pada aspek Kematangan Emosi. Tingkat beban pikiran yang dialami sangat tinggi, sehingga mengganggu keseimbangan hariannya secara drastis.",39
16,Kematangan Emosi,Pribadi,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami hambatan emosional yang sangat menguras energi, ditandai dengan kecemasan yang meluas dan kelelahan batin yang luar biasa khususnya pada aspek Kematangan Emosi. Kondisinya berada pada titik jenuh tertinggi yang menurunkan motivasi diri, serta membuat siswa kehilangan pandangan positif tentang dirinya.",42
17,Kesehatan Fisik,Pribadi,0% - 12%,Ringan - Rendah,"Siswa memiliki stabilitas emosi yang sangat baik, rasa percaya diri yang tinggi, serta ketahanan mental yang kuat dalam menghadapi rutinitas harian khususnya pada aspek Kesehatan Fisik. Kondisi perasaannya sangat positif dan matang, mendukung perkembangan diri yang optimal di sekolah tanpa hambatan berarti.",42
18,Kesehatan Fisik,Pribadi,13% - 25%,Ringan - Tinggi,"Siswa menunjukkan kondisi emosional yang sehat dan stabil secara umum khususnya pada aspek Kesehatan Fisik. Terdapat sedikit kecemasan atau keraguan situasional yang wajar, namun siswa tetap mampu mengelola perasaannya dengan baik dan menunjukkan penyesuaian diri yang adaptif dalam kesehariannya.",39
19,Kesehatan Fisik,Pribadi,26% - 38%,Sedang - Rendah,"Siswa mulai mengalami perubahan suasana hati atau penurunan motivasi diri dalam kadar ringan khususnya pada aspek Kesehatan Fisik. Kondisi ini sesekali memengaruhi ketenangan pikirannya, di mana siswa mulai merasa kurang yakin terhadap kemampuannya saat menghadapi tantangan di sekolah.",38
20,Kesehatan Fisik,Pribadi,39% - 50%,Sedang - Tinggi,"Siswa mengalami kondisi tekanan perasaan yang cukup mengganggu kenyamanan batinnya khususnya pada aspek Kesehatan Fisik. Perasaan tidak aman (insecurity) atau kecemasan mulai tampak lebih sering, sehingga siswa terkadang merasa kurang fokus dan mudah lelah secara mental dalam keseharian.",38
21,Kesehatan Fisik,Pribadi,51% - 63%,Berat - Rendah,"Siswa menunjukkan beban pikiran yang cukup berat, ditandai dengan emosi yang mudah berubah dan rasa percaya diri yang menurun tajam khususnya pada aspek Kesehatan Fisik. Keadaan perasaan yang tidak menentu ini mulai memengaruhi produktivitas harian dan menurunkan minat siswa terhadap aktivitas sekolah.",42
22,Kesehatan Fisik,Pribadi,64% - 75%,Berat - Tinggi,"Siswa mengalami hambatan emosional yang cukup menetap, diwarnai oleh kekhawatiran yang terus-menerus dan kesulitan mengendalikan emosi diri khususnya pada aspek Kesehatan Fisik. Kondisi ini membuat siswa merasa sangat tertekan, cenderung menutup diri, serta kesulitan untuk berpikir dengan tenang.",38
23,Kesehatan Fisik,Pribadi,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis perasaan yang mendalam, ditandai dengan emosi yang sangat tidak stabil dan rasa tidak berdaya yang kuat khususnya pada aspek Kesehatan Fisik. Tingkat beban pikiran yang dialami sangat tinggi, sehingga mengganggu keseimbangan hariannya secara drastis.",39
24,Kesehatan Fisik,Pribadi,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami hambatan emosional yang sangat menguras energi, ditandai dengan kecemasan yang meluas dan kelelahan batin yang luar biasa khususnya pada aspek Kesehatan Fisik. Kondisinya berada pada titik jenuh tertinggi yang menurunkan motivasi diri, serta membuat siswa kehilangan pandangan positif tentang dirinya.",42
25,Kesehatan Mental,Pribadi,0% - 12%,Ringan - Rendah,"Siswa memiliki stabilitas emosi yang sangat baik, rasa percaya diri yang tinggi, serta ketahanan mental yang kuat dalam menghadapi rutinitas harian khususnya pada aspek Kesehatan Mental. Kondisi perasaannya sangat positif dan matang, mendukung perkembangan diri yang optimal di sekolah tanpa hambatan berarti.",42
26,Kesehatan Mental,Pribadi,13% - 25%,Ringan - Tinggi,"Siswa menunjukkan kondisi emosional yang sehat dan stabil secara umum khususnya pada aspek Kesehatan Mental. Terdapat sedikit kecemasan atau keraguan situasional yang wajar, namun siswa tetap mampu mengelola perasaannya dengan baik dan menunjukkan penyesuaian diri yang adaptif dalam kesehariannya.",39
27,Kesehatan Mental,Pribadi,26% - 38%,Sedang - Rendah,"Siswa mulai mengalami perubahan suasana hati atau penurunan motivasi diri dalam kadar ringan khususnya pada aspek Kesehatan Mental. Kondisi ini sesekali memengaruhi ketenangan pikirannya, di mana siswa mulai merasa kurang yakin terhadap kemampuannya saat menghadapi tantangan di sekolah.",38
28,Kesehatan Mental,Pribadi,39% - 50%,Sedang - Tinggi,"Siswa mengalami kondisi tekanan perasaan yang cukup mengganggu kenyamanan batinnya khususnya pada aspek Kesehatan Mental. Perasaan tidak aman (insecurity) atau kecemasan mulai tampak lebih sering, sehingga siswa terkadang merasa kurang fokus dan mudah lelah secara mental dalam keseharian.",38
29,Kesehatan Mental,Pribadi,51% - 63%,Berat - Rendah,"Siswa menunjukkan beban pikiran yang cukup berat, ditandai dengan emosi yang mudah berubah dan rasa percaya diri yang menurun tajam khususnya pada aspek Kesehatan Mental. Keadaan perasaan yang tidak menentu ini mulai memengaruhi produktivitas harian dan menurunkan minat siswa terhadap aktivitas sekolah.",42
30,Kesehatan Mental,Pribadi,64% - 75%,Berat - Tinggi,"Siswa mengalami hambatan emosional yang cukup menetap, diwarnai oleh kekhawatiran yang terus-menerus dan kesulitan mengendalikan emosi diri khususnya pada aspek Kesehatan Mental. Kondisi ini membuat siswa merasa sangat tertekan, cenderung menutup diri, serta kesulitan untuk berpikir dengan tenang.",38
31,Kesehatan Mental,Pribadi,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis perasaan yang mendalam, ditandai dengan emosi yang sangat tidak stabil dan rasa tidak berdaya yang kuat khususnya pada aspek Kesehatan Mental. Tingkat beban pikiran yang dialami sangat tinggi, sehingga mengganggu keseimbangan hariannya secara drastis.",39
